time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,0.5,,,,0.5 
10,6.3,0.8,1.6,0.8,3.1 
20,7.9,1.1,2.2,1,3 
30,8,0.3,0.7,0.1,6.6 
40,7.9,0.2,0.7,0,6.9 
50,8,0.1,0.7,0,6.8 
60,9.2,0,0.3,0,8.8 
70,8.3,0,0.5,0,7.6 
80,8.5,0,1.1,0,7.4 
90,19,0,6.7,0,11.8 
100,84.5,12.8,47.9,1,0 
110,36.1,46.1,0.1,13.8,0 
119,39.7,1.1,0,39.7,0 
