time,users_count,finish_users_count 
0,12,0 
10,45,8 
20,190,18 
30,625,19 
40,625,19 
50,625,19 
60,625,19 
70,625,19 
80,625,19 
90,625,19 
100,625,37 
110,625,242 
119,625,625 
