time,session 
10,10489.482 
20,15052.899 
30,15052.899 
40,15052.899 
50,15052.899 
60,15052.899 
70,15052.899 
80,15052.899 
90,15052.899 
100,93071.325 
110,97225.352 
119,97225.352 
