time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,1.3,,0.4,,0.9 
10,4.1,0.6,0.8,0.6,2.1 
20,12.8,2.5,3.5,2.5,4.2 
30,10.4,4,2.5,4,0 
34,0.2,0.1,0,0.1,0 
