time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,470.337,,31.592,,470.49 
10,476.221,80.156,31.592,63.394,476.392 
20,3704.652,736.538,302.784,684.358,3704.812 
30,3704.652,736.538,302.784,684.358,3704.812 
34,3704.652,736.538,302.784,684.358,3704.812 
