time,page,tr_CREATE_GROUP,tr_CREATE_POST,tr_SIGN_IN 
0,361.253,,,1350.122 
10,1876.324,4531.242,4344.883,2634.015 
20,1876.324,4531.242,4344.883,2634.015 
28,1876.324,4531.242,4344.883,2634.015 
