time,page,tr_CREATE_GROUP,tr_CREATE_POST,tr_SIGN_IN 
0,13.515,,,1271.144 
10,13.16,4531.242,4017.255,1271.144 
20,13.16,4032.632,4014.753,1271.144 
28,13.16,4029.55,4014.753,1271.144 
