time,freemem@tsung_controller@ip-172-31-43-129 
0,687.76171875 
10,687.76171875 
20,687.76171875 
30,687.76171875 
40,687.76171875 
50,687.76171875 
60,687.76171875 
70,687.76171875 
80,687.76171875 
90,687.76171875 
100,687.76171875 
110,687.76171875 
120,687.76171875 
130,687.76171875 
140,687.76171875 
144,687.76171875 
