time,connect,request 
0,3.3054573435456702,112.12933530927162 
10,0.62259939590837,218.75682379404412 
20,2.4564836357848803,697.4417409153259 
30,1.4558174903671939,1568.3614097391196 
40,1.4262204319734404,3888.8360095741655 
50,1.0783280146302054,4912.948951492919 
60,0.4976734622741846,3748.896144313527 
70,0.4857001151937238,6261.948085735344 
80,0.4130793385547483,2370.4555861433896 
90,0.5801713133501751,1593.7894460200812 
100,0.18626336193680168,2299.289437479962 
110,0.054609408530032565,2481.0182276004025 
120,0,1630.0347391071487 
130,0,20705.115383010125 
140,0,8.238528674957854 
144,0,7.438984625387411 
