time,freemem@tsung_controller@ip-172-31-43-129 
0,687.76171875 
10,686.4765625 
20,673.75 
30,641.2734375 
40,584.8515625 
50,505.2890625 
60,392.41015625 
70,332.8984375 
80,326.88671875 
90,318.4140625 
100,313.79296875 
110,309.671875 
120,304.35546875 
130,298.265625 
140,292.6953125 
144,292.6953125 
