time,users,connected 
0,8,8 
10,38,27 
20,165,111 
30,759,551 
40,1199,304 
50,1199,13 
60,1199,5 
70,1199,-42 
80,1199,-15 
90,1199,2 
100,1199,-3 
110,1199,-29 
120,1199,-53 
130,1199,-127 
140,1199,-533 
144,1199,-219 
