time,session 
10,1507.2709941257863 
20,1554.029196229913 
30,2503.922960460061 
40,2172.7964321712598 
50,7186.684799158256 
60,7036.733772784426 
70,6910.84537657388 
80,7480.047049328801 
90,3844.600167034161 
100,7271.958084246409 
110,5264.623007878452 
120,5866.303706083914 
130,5511.313503677587 
140,2951.0517716237537 
144,1550.131528987312 
