time,connect,request 
0,0.8,3.1 
10,3.4,16.2 
20,12.1,33.3 
30,57.8,51.4 
40,121.5,134.8 
50,74.8,123.3 
60,48.3,60.6 
70,7.4,24.8 
80,2.6,14.4 
90,2.1,16.2 
100,1,13.1 
110,0.4,15.7 
120,0,21.6 
130,0,148.7 
140,0,53.3 
144,0,21.9 
