time,cpu@tsung_controller@ip-172-31-43-129 
0,3.7637097184316253 
10,3.7637097184316253 
20,3.7637097184316253 
30,3.7637097184316253 
40,4.612365063788027 
50,9.20988851187591 
60,9.20988851187591 
70,9.20988851187591 
80,9.20988851187591 
90,9.20988851187591 
100,9.20988851187591 
110,9.20988851187591 
120,9.20988851187591 
130,9.20988851187591 
140,9.20988851187591 
144,9.20988851187591 
