time,page,tr_GET_POSTS,tr_CREATE_POST,tr_SIGN_IN 
0,1.3,0.5,,0.5 
10,7,2.9,0.7,2.9 
20,13.8,3.5,1,5.5 
30,17.1,4.6,2.7,6.6 
40,44.4,18.3,2.3,21.9 
50,53.7,15.3,4.9,16.9 
60,46.1,4.3,7.5,10.2 
70,10,4,5.7,10.8 
80,3.8,1.2,2.3,9.4 
90,3.5,4.9,1.1,7.8 
100,2.5,1.3,1.1,9.3 
110,3.5,1.6,2.9,10.6 
120,6.7,3.7,5.3,11.2 
130,87.6,59.3,12.7,1.8 
140,53.3,0,53.3,0 
144,21.9,0,21.9,0 
