time,size_sent,size_rcv 
0,14.33828125,86.84921875 
10,73.14375,423.8125 
20,184.70703125,930.78203125 
30,325.64296875,1459.10703125 
40,476.0203125,1950.590625 
50,620.34609375,2821.44375 
60,359.44453125,1521.8109375 
70,114.0828125,345.159375 
80,74.121875,185.68125 
90,87.4546875,239.7046875 
100,74.32109375,171.19609375 
110,75.51015625,188.59765625 
120,80.6859375,186.059375 
130,354.54921875,3053.87109375 
140,384.62265625,582.41171875 
144,150.46015625,247.58359375 
