time,load@tsung_controller@ip-172-31-43-129 
0,0.078125 
10,0.0703125 
20,0.05859375 
30,0.05078125 
40,0.0390625 
50,0.03125 
60,0.19140625 
70,0.23828125 
80,0.28125 
90,0.23046875 
100,0.19921875 
110,0.171875 
120,0.140625 
130,0.12109375 
140,0.1015625 
144,0.078125 
