time,users_count,finish_users_count 
0,0.8,0 
10,3.8,0.8 
20,13.8,1.1 
30,61.9,2.5 
40,45.1,2.3 
50,0,4.9 
60,0,7.8 
70,0,5.4 
80,0,2.4 
90,0,1 
100,0,1.1 
110,0,2.9 
120,0,5.3 
130,0,12.8 
140,0,55.5 
144,0,19.6 
