time,load@tsung_controller@ip-172-31-43-129 
0,0.078125 
10,0.078125 
20,0.078125 
30,0.078125 
40,0.078125 
50,0.078125 
60,0.19140625 
70,0.23828125 
80,0.28125 
90,0.28125 
100,0.28125 
110,0.28125 
120,0.28125 
130,0.28125 
140,0.28125 
144,0.28125 
