time,connect,request 
0,1.411,5.517 
10,1.388,4.839 
20,1.203,4.839 
30,0.908,4.839 
40,0.833,0.187 
50,0.788,0.15 
60,0.788,0.15 
70,0.788,0.15 
80,0.788,0.15 
90,0.788,0.15 
100,0.788,0.15 
110,0.788,0.15 
120,0.788,0.15 
130,0.788,0.15 
140,0.788,0.15 
144,0.788,0.15 
