time,200,500,422,302,504 
0,2.1,0.5,,0.5, 
10,9.7,2.9,,3.6, 
20,23.3,3.5,,6.5, 
30,37.4,5,,9, 
40,52.7,2.7,,8.2, 
50,75.4,7.3,1.8,6.9, 
60,37.2,4.4,5.5,8.9, 
70,3.1,4.4,5.3,9.8, 
80,0.9,3.1,2.1,8.3, 
90,2.2,4.3,0.8,8.9, 
100,0.9,4.1,0.7,7.4, 
110,0.3,4.3,2.5,8.6, 
120,0.2,2.6,4.1,6.6,8.1 
130,50.2,37.6,5.4,49.8,5.7 
140,0,0,16.8,36.5,0 
144,0,0,8.2,13.7,0 
