time,error_connection_closed,error_send_einval 
40,15,8 
50,23,13 
60,23,13 
70,23,13 
80,23,13 
90,23,13 
100,23,13 
110,23,13 
120,23,13 
130,23,13 
140,23,13 
144,23,13 
