time,users_count,finish_users_count 
0,8,0 
10,46,8 
20,184,19 
30,803,44 
40,1254,67 
50,1254,116 
60,1254,194 
70,1254,248 
80,1254,272 
90,1254,282 
100,1254,293 
110,1254,322 
120,1254,375 
130,1254,503 
140,1254,1058 
144,1254,1254 
