time,200,500,422,302,504 
0,21,5,,5, 
10,118,34,,41, 
20,351,69,,106, 
30,725,119,,196, 
40,1252,146,,278, 
50,2006,219,18,347, 
60,2378,263,73,436, 
70,2409,307,126,534, 
80,2418,338,147,617, 
90,2440,381,155,706, 
100,2449,422,162,780, 
110,2452,465,187,866, 
120,2454,491,228,932,81 
130,2956,867,282,1430,138 
140,2956,867,450,1795,138 
144,2956,867,532,1932,138 
