time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,460.051,,,,460.211 
10,781.703,539.0,44.414,102.97,781.862 
20,5849.495,2397.911,1075.577,2838.352,5849.761 
30,11067.745,8818.77,7519.178,5528.141,11067.916 
40,18824.764,8818.77,15803.209,5528.141,18824.935 
50,32221.865,30603.904,20705.134,30366.358,26455.645 
60,33556.074,30603.904,20705.134,30366.358,28036.897 
70,33556.074,30603.904,20705.134,30366.358,28036.897 
75,33556.074,30603.904,20705.134,30366.358,28036.897 
