time,connect,request 
0,6.336,460.051 
10,33.44,781.703 
20,33.44,5849.495 
30,33.44,11067.745 
40,33.44,18824.764 
50,33.44,26455.491 
60,33.44,28036.095 
70,33.44,28036.095 
75,33.44,28036.095 
