time,freemem@tsung_controller@ip-172-31-42-10 
0,659.640625 
10,659.65625 
20,653.484375 
30,641.5 
40,634.58984375 
50,631.04296875 
60,594.91796875 
70,546.3203125 
75,598.5078125 
