time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,363.4085,,,,365.2945 
10,256.51925531914895,212.726,24.939454545454545,84.4995,430.6314 
20,1896.337387755102,968.3696470588235,177.9583076923077,769.6572142857143,4067.2536923076923 
30,8020.0460952380945,7525.432000000001,5718.041777777778,5528.141,8615.455940298509 
40,14246.743243589744,0,13293.08825,0,14453.922134328364 
50,15662.604874045812,29559.286,12536.791192546583,28140.935250000002,22267.028789473687 
60,5831.967117166217,7113.3774463276795,1961.0108124999995,6344.605938775509,27572.963294117653 
70,8492.659944000005,6812.070139534887,2243.4771764705883,6861.2771923076925,0 
75,7679.778603448274,5764.732058823529,0,3507.0673448275866,0 
